Inicio de programa
T: [0:15] --> Temperatura: 20.60ºC | Humedad relativa: 47.00% | Humedad absoluta: 8.41 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [0:30] --> Temperatura: 20.90ºC | Humedad relativa: 47.00% | Humedad absoluta: 8.56 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [0:45] --> Temperatura: 21.10ºC | Humedad relativa: 46.00% | Humedad absoluta: 8.47 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [1:00] --> Temperatura: 21.10ºC | Humedad relativa: 46.00% | Humedad absoluta: 8.47 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [1:15] --> Temperatura: 21.00ºC | Humedad relativa: 46.00% | Humedad absoluta: 8.43 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [1:30] --> Temperatura: 20.90ºC | Humedad relativa: 50.00% | Humedad absoluta: 9.10 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [1:45] --> Temperatura: 20.80ºC | Humedad relativa: 56.00% | Humedad absoluta: 10.14 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [2:00] --> Temperatura: 20.70ºC | Humedad relativa: 63.00% | Humedad absoluta: 11.34 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [2:15] --> Temperatura: 20.70ºC | Humedad relativa: 68.00% | Humedad absoluta: 12.24 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [2:30] --> Temperatura: 20.60ºC | Humedad relativa: 73.00% | Humedad absoluta: 13.06 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [2:45] --> Temperatura: 20.60ºC | Humedad relativa: 77.00% | Humedad absoluta: 13.78 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [3:00] --> Temperatura: 20.60ºC | Humedad relativa: 79.00% | Humedad absoluta: 14.14 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [3:15] --> Temperatura: 20.50ºC | Humedad relativa: 81.00% | Humedad absoluta: 14.41 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
