Inicio de programa
T: [0:15] --> Temperatura: 21.00ºC | Humedad relativa: 46.00% | Humedad absoluta: 8.43 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [0:30] --> Temperatura: 21.20ºC | Humedad relativa: 46.00% | Humedad absoluta: 8.52 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [0:45] --> Temperatura: 21.20ºC | Humedad relativa: 45.00% | Humedad absoluta: 8.34 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [1:00] --> Temperatura: 21.20ºC | Humedad relativa: 45.00% | Humedad absoluta: 8.34 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [1:15] --> Temperatura: 21.00ºC | Humedad relativa: 45.00% | Humedad absoluta: 8.24 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [1:30] --> Temperatura: 20.90ºC | Humedad relativa: 46.00% | Humedad absoluta: 8.38 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [1:45] --> Temperatura: 20.80ºC | Humedad relativa: 50.00% | Humedad absoluta: 9.05 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [2:00] --> Temperatura: 20.70ºC | Humedad relativa: 55.00% | Humedad absoluta: 9.90 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [2:15] --> Temperatura: 20.60ºC | Humedad relativa: 61.00% | Humedad absoluta: 10.92 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [2:30] --> Temperatura: 20.60ºC | Humedad relativa: 66.00% | Humedad absoluta: 11.81 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [2:45] --> Temperatura: 20.50ºC | Humedad relativa: 70.00% | Humedad absoluta: 12.45 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [3:00] --> Temperatura: 20.40ºC | Humedad relativa: 73.00% | Humedad absoluta: 12.91 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [3:15] --> Temperatura: 20.30ºC | Humedad relativa: 74.00% | Humedad absoluta: 13.01 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [3:30] --> Temperatura: 20.30ºC | Humedad relativa: 76.00% | Humedad absoluta: 13.36 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [3:45] --> Temperatura: 20.20ºC | Humedad relativa: 77.00% | Humedad absoluta: 13.46 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [4:00] --> Temperatura: 20.20ºC | Humedad relativa: 78.00% | Humedad absoluta: 13.64 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [4:15] --> Temperatura: 20.20ºC | Humedad relativa: 79.00% | Humedad absoluta: 13.81 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [4:30] --> Temperatura: 20.10ºC | Humedad relativa: 81.00% | Humedad absoluta: 14.08 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [4:45] --> Temperatura: 20.10ºC | Humedad relativa: 82.00% | Humedad absoluta: 14.25 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [5:00] --> Temperatura: 20.10ºC | Humedad relativa: 83.00% | Humedad absoluta: 14.43 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [5:15] --> Temperatura: 20.10ºC | Humedad relativa: 84.00% | Humedad absoluta: 14.60 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [5:30] --> Temperatura: 20.20ºC | Humedad relativa: 85.00% | Humedad absoluta: 14.86 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [5:45] --> Temperatura: 20.20ºC | Humedad relativa: 86.00% | Humedad absoluta: 15.03 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [6:00] --> Temperatura: 20.10ºC | Humedad relativa: 85.00% | Humedad absoluta: 14.77 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [6:15] --> Temperatura: 20.10ºC | Humedad relativa: 85.00% | Humedad absoluta: 14.77 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [6:30] --> Temperatura: 20.20ºC | Humedad relativa: 84.00% | Humedad absoluta: 14.68 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
