Inicio de programa
T: [0:15] --> Temperatura: 18.60ºC | Humedad relativa: 50.40% | Humedad absoluta: 8.02 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [0:30] --> Temperatura: 18.60ºC | Humedad relativa: 50.20% | Humedad absoluta: 7.99 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [0:45] --> Temperatura: 18.70ºC | Humedad relativa: 50.10% | Humedad absoluta: 8.02 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [1:00] --> Temperatura: 18.70ºC | Humedad relativa: 50.00% | Humedad absoluta: 8.00 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [1:15] --> Temperatura: 18.80ºC | Humedad relativa: 50.00% | Humedad absoluta: 8.05 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [1:30] --> Temperatura: 18.80ºC | Humedad relativa: 49.80% | Humedad absoluta: 8.02 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [1:45] --> Temperatura: 18.90ºC | Humedad relativa: 49.80% | Humedad absoluta: 8.07 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [2:00] --> Temperatura: 18.90ºC | Humedad relativa: 49.70% | Humedad absoluta: 8.05 g/m3 | Lecturas iguales: 2 | Fallos acumulados: 0 | Esperando...
T: [2:15] --> Temperatura: 19.00ºC | Humedad relativa: 49.60% | Humedad absoluta: 8.08 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [2:30] --> Temperatura: 19.00ºC | Humedad relativa: 49.50% | Humedad absoluta: 8.06 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [2:45] --> Temperatura: 19.00ºC | Humedad relativa: 49.50% | Humedad absoluta: 8.06 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [3:00] --> Temperatura: 19.10ºC | Humedad relativa: 49.50% | Humedad absoluta: 8.11 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [3:15] --> Temperatura: 19.10ºC | Humedad relativa: 49.40% | Humedad absoluta: 8.10 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [3:30] --> Temperatura: 19.10ºC | Humedad relativa: 49.30% | Humedad absoluta: 8.08 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [3:45] --> Temperatura: 19.10ºC | Humedad relativa: 49.70% | Humedad absoluta: 8.14 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [4:00] --> Temperatura: 19.10ºC | Humedad relativa: 49.60% | Humedad absoluta: 8.13 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [4:15] --> Temperatura: 19.10ºC | Humedad relativa: 49.50% | Humedad absoluta: 8.11 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [4:30] --> Temperatura: 19.20ºC | Humedad relativa: 49.60% | Humedad absoluta: 8.18 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [4:45] --> Temperatura: 19.20ºC | Humedad relativa: 49.50% | Humedad absoluta: 8.16 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [5:00] --> Temperatura: 19.20ºC | Humedad relativa: 49.40% | Humedad absoluta: 8.14 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [5:15] --> Temperatura: 19.20ºC | Humedad relativa: 49.30% | Humedad absoluta: 8.13 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [5:30] --> Temperatura: 19.20ºC | Humedad relativa: 49.30% | Humedad absoluta: 8.13 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [5:45] --> Temperatura: 19.20ºC | Humedad relativa: 49.30% | Humedad absoluta: 8.13 g/m3 | Lecturas iguales: 2 | Fallos acumulados: 0 | Esperando...
T: [6:00] --> Temperatura: 19.20ºC | Humedad relativa: 49.30% | Humedad absoluta: 8.13 g/m3 | Lecturas iguales: 3 | Fallos acumulados: 0 | Esperando...
T: [6:15] --> Temperatura: 19.20ºC | Humedad relativa: 49.20% | Humedad absoluta: 8.11 g/m3 | Lecturas iguales: 4 | Fallos acumulados: 0 | Esperando...
T: [6:30] --> Temperatura: 19.20ºC | Humedad relativa: 49.30% | Humedad absoluta: 8.13 g/m3 | Lecturas iguales: 5 | Fallos acumulados: 0 | Esperando...
T: [6:45] --> Temperatura: 19.20ºC | Humedad relativa: 49.40% | Humedad absoluta: 8.14 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [7:00] --> Temperatura: 19.20ºC | Humedad relativa: 49.30% | Humedad absoluta: 8.13 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [7:15] --> Temperatura: 19.20ºC | Humedad relativa: 49.20% | Humedad absoluta: 8.11 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [7:30] --> Temperatura: 19.20ºC | Humedad relativa: 49.10% | Humedad absoluta: 8.09 g/m3 | Lecturas iguales: 2 | Fallos acumulados: 0 | Esperando...
T: [7:45] --> Temperatura: 19.20ºC | Humedad relativa: 49.20% | Humedad absoluta: 8.11 g/m3 | Lecturas iguales: 3 | Fallos acumulados: 0 | Esperando...
T: [8:00] --> Temperatura: 19.20ºC | Humedad relativa: 49.30% | Humedad absoluta: 8.13 g/m3 | Lecturas iguales: 4 | Fallos acumulados: 0 | Esperando...
T: [8:15] --> Temperatura: 19.20ºC | Humedad relativa: 49.30% | Humedad absoluta: 8.13 g/m3 | Lecturas iguales: 5 | Fallos acumulados: 0 | Esperando...
T: [8:30] --> Temperatura: 19.20ºC | Humedad relativa: 49.30% | Humedad absoluta: 8.13 g/m3 | Lecturas iguales: 6 | Fallos acumulados: 0 | Esperando...
T: [8:45] --> Temperatura: 19.20ºC | Humedad relativa: 49.30% | Humedad absoluta: 8.13 g/m3 | Lecturas iguales: 7 | Fallos acumulados: 0 | Esperando...
T: [9:00] --> Temperatura: 19.20ºC | Humedad relativa: 49.40% | Humedad absoluta: 8.14 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [9:15] --> Temperatura: 19.20ºC | Humedad relativa: 49.50% | Humedad absoluta: 8.16 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [9:30] --> Temperatura: 19.20ºC | Humedad relativa: 49.50% | Humedad absoluta: 8.16 g/m3 | Lecturas iguales: 2 | Fallos acumulados: 0 | Esperando...
T: [9:45] --> Temperatura: 19.20ºC | Humedad relativa: 49.40% | Humedad absoluta: 8.14 g/m3 | Lecturas iguales: 3 | Fallos acumulados: 0 | Esperando...
