Inicio de programa
T: [0:15] --> Temperatura: 18.90ºC | Humedad relativa: 60.10% | Humedad absoluta: 9.73 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [0:30] --> Temperatura: 19.00ºC | Humedad relativa: 61.70% | Humedad absoluta: 10.05 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [0:45] --> Temperatura: 19.10ºC | Humedad relativa: 63.00% | Humedad absoluta: 10.32 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [1:00] --> Temperatura: 19.30ºC | Humedad relativa: 63.40% | Humedad absoluta: 10.51 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [1:15] --> Temperatura: 19.50ºC | Humedad relativa: 63.00% | Humedad absoluta: 10.57 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [1:30] --> Temperatura: 19.70ºC | Humedad relativa: 62.90% | Humedad absoluta: 10.68 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [1:45] --> Temperatura: 20.00ºC | Humedad relativa: 62.60% | Humedad absoluta: 10.82 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [2:00] --> Temperatura: 20.20ºC | Humedad relativa: 62.30% | Humedad absoluta: 10.89 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [2:15] --> Temperatura: 20.40ºC | Humedad relativa: 62.00% | Humedad absoluta: 10.97 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [2:30] --> Temperatura: 20.70ºC | Humedad relativa: 61.80% | Humedad absoluta: 11.12 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [2:45] --> Temperatura: 20.90ºC | Humedad relativa: 61.30% | Humedad absoluta: 11.16 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [3:00] --> Temperatura: 21.20ºC | Humedad relativa: 60.60% | Humedad absoluta: 11.23 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [3:15] --> Temperatura: 21.50ºC | Humedad relativa: 60.10% | Humedad absoluta: 11.33 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [3:30] --> Temperatura: 21.80ºC | Humedad relativa: 59.90% | Humedad absoluta: 11.49 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [3:45] --> Temperatura: 22.00ºC | Humedad relativa: 59.60% | Humedad absoluta: 11.57 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [4:00] --> Temperatura: 22.20ºC | Humedad relativa: 58.70% | Humedad absoluta: 11.52 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [4:15] --> Temperatura: 22.50ºC | Humedad relativa: 58.20% | Humedad absoluta: 11.62 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [4:30] --> Temperatura: 22.70ºC | Humedad relativa: 57.90% | Humedad absoluta: 11.70 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [4:45] --> Temperatura: 22.90ºC | Humedad relativa: 57.40% | Humedad absoluta: 11.73 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [5:00] --> Temperatura: 23.10ºC | Humedad relativa: 56.80% | Humedad absoluta: 11.74 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [5:15] --> Temperatura: 23.30ºC | Humedad relativa: 56.40% | Humedad absoluta: 11.79 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [5:30] --> Temperatura: 23.50ºC | Humedad relativa: 56.00% | Humedad absoluta: 11.84 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [5:45] --> Error de lectura. Fallos acumulados: 1 | Esperando...
T: [6:00] --> Temperatura: 23.80ºC | Humedad relativa: 55.20% | Humedad absoluta: 11.88 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [6:15] --> Error de lectura. Fallos acumulados: 1 | Esperando...
T: [6:30] --> Temperatura: 24.00ºC | Humedad relativa: 54.40% | Humedad absoluta: 11.84 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [6:45] --> Error de lectura. Fallos acumulados: 1 | Esperando...
T: [7:00] --> Temperatura: 24.00ºC | Humedad relativa: 53.60% | Humedad absoluta: 11.66 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [7:15] --> Temperatura: 23.90ºC | Humedad relativa: 56.10% | Humedad absoluta: 12.14 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [7:30] --> Error de lectura. Fallos acumulados: 1 | Esperando...
T: [7:45] --> Temperatura: 23.80ºC | Humedad relativa: 66.70% | Humedad absoluta: 14.35 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [8:00] --> Temperatura: 23.80ºC | Humedad relativa: 71.00% | Humedad absoluta: 15.27 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [8:15] --> Temperatura: 23.70ºC | Humedad relativa: 74.40% | Humedad absoluta: 15.92 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [8:30] --> Temperatura: 23.60ºC | Humedad relativa: 76.60% | Humedad absoluta: 16.29 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [8:45] --> Error de lectura. Fallos acumulados: 1 | Esperando...
T: [9:00] --> Temperatura: 23.50ºC | Humedad relativa: 79.80% | Humedad absoluta: 16.88 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [9:15] --> Error de lectura. Fallos acumulados: 1 | Esperando...
T: [9:30] --> Temperatura: 23.30ºC | Humedad relativa: 81.70% | Humedad absoluta: 17.08 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [9:45] --> Temperatura: 23.20ºC | Humedad relativa: 82.20% | Humedad absoluta: 17.09 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [10:00] --> Error de lectura. Fallos acumulados: 1 | Esperando...
T: [10:15] --> Temperatura: 23.10ºC | Humedad relativa: 83.80% | Humedad absoluta: 17.32 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [10:30] --> Temperatura: 22.90ºC | Humedad relativa: 84.00% | Humedad absoluta: 17.17 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [10:45] --> Temperatura: 22.90ºC | Humedad relativa: 86.50% | Humedad absoluta: 17.68 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [11:00] --> Error de lectura. Fallos acumulados: 1 | Esperando...
T: [11:15] --> Temperatura: 22.80ºC | Humedad relativa: 92.40% | Humedad absoluta: 18.78 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [11:30] --> Temperatura: 22.80ºC | Humedad relativa: 92.60% | Humedad absoluta: 18.82 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [11:45] --> Error de lectura. Fallos acumulados: 1 | Esperando...
T: [12:00] --> Temperatura: 22.80ºC | Humedad relativa: 90.80% | Humedad absoluta: 18.45 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [12:15] --> Temperatura: 22.70ºC | Humedad relativa: 90.10% | Humedad absoluta: 18.20 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [12:30] --> Temperatura: 22.60ºC | Humedad relativa: 89.40% | Humedad absoluta: 17.96 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [12:45] --> Temperatura: 22.50ºC | Humedad relativa: 88.80% | Humedad absoluta: 17.74 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
T: [13:00] --> Temperatura: 22.50ºC | Humedad relativa: 88.80% | Humedad absoluta: 17.74 g/m3 | Lecturas iguales: 1 | Fallos acumulados: 0 | Esperando...
T: [13:15] --> Temperatura: 22.40ºC | Humedad relativa: 89.50% | Humedad absoluta: 17.77 g/m3 | Lecturas iguales: 0 | Fallos acumulados: 0 | Esperando...
